season,tm_team_name,asa_team_id,observed_at,value_snapshot_type,n_prior_fill,squad_value_eur,att_value_pct,def_value_pct,tilt,value_wtd_age,avg_age,dp_value_share,n_players,n_att,n_def,n_gk,league,canon_team_name,coverage_confidence
2024,Atlas Guadalajara,,2026-07-06T01:38:15.943132+00:00,current_scrape,1,38850000.0,0.48906048906048905,0.26898326898326896,0.22007722007722008,26.324324324324323,25.214285714285715,0.21364221364221364,42,12,13,4,MEX1,,full
2024,Atlético de San Luis,,2026-07-06T01:38:15.943132+00:00,current_scrape,1,50225000.0,0.4265803882528621,0.33748133399701347,0.08909905425584863,25.251866600298655,24.386363636363637,0.2588352414136386,44,18,13,5,MEX1,Atlético de San Luis,full
2024,CD Cruz Azul,,2026-07-06T01:38:15.943132+00:00,current_scrape,0,107700000.0,0.34818941504178275,0.308263695450325,0.03992571959145774,24.658310120705664,23.69047619047619,0.20891364902506965,42,15,14,3,MEX1,Cruz Azul,full
2024,CF América,,2026-07-06T01:38:15.943132+00:00,current_scrape,0,109600000.0,0.3795620437956204,0.30269160583941607,0.07687043795620435,25.618841240875913,24.1,0.2281021897810219,50,17,17,5,MEX1,América,full
2024,CF Monterrey,,2026-07-06T01:38:15.943132+00:00,current_scrape,0,93200000.0,0.4989270386266094,0.25,0.24892703862660942,26.449570815450645,24.95744680851064,0.2092274678111588,47,16,17,5,MEX1,Monterrey,full
2024,CF Pachuca,,2026-07-06T01:38:15.943132+00:00,current_scrape,2,102500000.0,0.4253658536585366,0.31658536585365854,0.10878048780487803,24.462439024390243,24.78181818181818,0.1951219512195122,55,27,16,4,MEX1,Pachuca,full
2024,Club León FC,,2026-07-06T01:38:15.943132+00:00,current_scrape,0,60800000.0,0.3503289473684211,0.3092105263157895,0.04111842105263158,26.028371710526315,24.94,0.21052631578947367,50,19,18,3,MEX1,León,full
2024,Club Necaxa,,2026-07-06T01:38:15.943132+00:00,current_scrape,0,59950000.0,0.3502919099249375,0.32777314428690574,0.022518765638031735,24.968306922435364,22.183673469387756,0.2919099249374479,49,19,14,5,MEX1,Necaxa,full
2024,Club Tijuana,,2026-07-06T01:38:15.943132+00:00,current_scrape,1,59000000.0,0.5093220338983051,0.3466101694915254,0.1627118644067797,24.777118644067798,24.6,0.20847457627118643,50,15,19,6,MEX1,Tijuana,full
2024,Deportivo Guadalajara,,2026-07-06T01:38:15.943132+00:00,current_scrape,0,91975000.0,0.37428649089426475,0.4430551780375102,-0.06876868714324547,23.927697743952162,24.304347826086957,0.2011416145691764,46,16,21,4,MEX1,Guadalajara,full
2024,Deportivo Toluca,,2026-07-06T01:38:15.943132+00:00,current_scrape,0,112100000.0,0.41391614629794826,0.39785905441570024,0.01605709188224802,25.41971454058876,24.659574468085108,0.30776092774308655,47,13,18,5,MEX1,Toluca,full
2024,FC Juárez,,2026-07-06T01:38:15.943132+00:00,current_scrape,0,51700000.0,0.45357833655706,0.3114119922630561,0.14216634429400388,25.606382978723403,24.8125,0.20309477756286268,48,16,15,4,MEX1,FC Juarez,full
2024,Puebla FC,,2026-07-06T01:38:15.943132+00:00,current_scrape,0,34375000.0,0.41309090909090906,0.3592727272727273,0.053818181818181765,25.576727272727272,24.9,0.18036363636363636,50,18,17,4,MEX1,Puebla,full
2024,Querétaro FC,,2026-07-06T01:38:15.943132+00:00,current_scrape,0,31125000.0,0.5437751004016064,0.25542168674698795,0.2883534136546184,25.85301204819277,25.50980392156863,0.17670682730923695,51,24,15,4,MEX1,Querétaro,full
2024,Santos Laguna,,2026-07-06T01:38:15.943132+00:00,current_scrape,0,47150000.0,0.38494167550371156,0.29692470837751855,0.088016967126193,24.57051961823966,23.625,0.21845174973488865,48,19,14,4,MEX1,Santos,full
2024,Tigres UANL,,2026-07-06T01:38:15.943132+00:00,current_scrape,0,77850000.0,0.5048169556840078,0.30700064226075785,0.1978163134232499,26.45343609505459,26.069767441860463,0.28901734104046245,43,13,15,5,MEX1,Tigres UANL,full
2024,UNAM Pumas,,2026-07-06T01:38:15.943132+00:00,current_scrape,1,65300000.0,0.33575803981623276,0.28828483920367537,0.04747320061255739,24.566615620214396,23.09090909090909,0.2450229709035222,44,11,17,7,MEX1,Pumas UNAM,full
