season,tm_team_name,asa_team_id,observed_at,value_snapshot_type,n_prior_fill,squad_value_eur,att_value_pct,def_value_pct,tilt,value_wtd_age,avg_age,dp_value_share,n_players,n_att,n_def,n_gk
2025,Atlanta United FC,ATL,unknown,unknown,0,54800000.0,0.5191605839416058,0.28102189781021897,0.23813868613138683,27.26551094890511,25.586206896551722,0.4470802919708029,29,8,10,2
2025,Austin FC,ATX,unknown,unknown,0,45350000.0,0.4994487320837927,0.26019845644983464,0.23925027563395806,26.412348401323044,26.666666666666668,0.4189636163175303,27,8,10,2
2025,CF Montréal,MTL,unknown,unknown,0,34850000.0,0.4949784791965567,0.30272596843615496,0.19225251076040173,24.362984218077475,23.466666666666665,0.3299856527977044,30,11,10,3
2025,Charlotte FC,CLT,unknown,unknown,1,41600000.0,0.6147836538461539,0.19591346153846154,0.4188701923076923,26.026442307692307,25.96551724137931,0.3605769230769231,29,10,10,3
2025,Chicago Fire FC,CHI,unknown,unknown,0,48150000.0,0.4273104880581516,0.3032191069574247,0.12409138110072687,26.938733125649012,25.533333333333335,0.37383177570093457,30,11,11,3
2025,Colorado Rapids,COL,unknown,unknown,0,44950000.0,0.46273637374860954,0.339265850945495,0.12347052280311455,23.850945494994438,22.939393939393938,0.3670745272525028,33,12,10,4
2025,Columbus Crew,CLB,unknown,unknown,0,52325000.0,0.4586717630195891,0.18585762064022934,0.27281414237935975,26.60200668896321,25.545454545454547,0.3535594839942666,33,9,9,5
2025,D.C. United,DC,unknown,unknown,0,30150000.0,0.6069651741293532,0.28192371475953565,0.3250414593698176,25.95688225538972,25.555555555555557,0.42454394693200664,27,11,9,4
2025,FC Cincinnati,CIN,unknown,unknown,0,58850000.0,0.6304163126593033,0.14953271028037382,0.48088360237892946,26.077315208156328,25.20689655172414,0.5437553101104503,29,11,8,4
2025,FC Dallas,DAL,unknown,unknown,0,41800000.0,0.5849282296650717,0.12679425837320574,0.458133971291866,25.702751196172247,23.742857142857144,0.44258373205741625,35,12,11,4
2025,Houston Dynamo FC,HOU,unknown,unknown,0,37350000.0,0.5247657295850067,0.16599732262382866,0.358768406961178,26.745649263721553,26.96551724137931,0.40160642570281124,29,8,9,3
2025,Inter Miami CF,MIA,unknown,unknown,0,85700000.0,0.4515752625437573,0.19049008168028006,0.2610851808634772,28.73745624270712,24.714285714285715,0.47841306884480744,28,6,11,3
2025,Los Angeles FC,LAFC,unknown,unknown,0,66175000.0,0.5583679637325274,0.18247072157159047,0.3758972421609369,28.44654325651681,26.266666666666666,0.438231960710238,30,11,9,3
2025,Los Angeles Galaxy,LAG,unknown,unknown,1,51200000.0,0.41162109375,0.2060546875,0.20556640625,26.14599609375,25.40625,0.44921875,32,11,12,3
2025,Minnesota United FC,MIN,unknown,unknown,0,42650000.0,0.3939038686987104,0.264947245017585,0.12895662368112543,25.77491207502931,25.161290322580644,0.3634232121922626,31,12,9,3
2025,Nashville SC,NSH,unknown,unknown,0,43975000.0,0.5969300739056282,0.1779420125071063,0.41898806139852196,26.575326890278568,25.666666666666668,0.42069357589539513,27,8,11,3
2025,New England Revolution,NE,unknown,unknown,1,40225000.0,0.42635177128651336,0.3356121814791796,0.09073958980733376,24.311995027967683,23.942857142857143,0.3480422622747048,35,12,14,3
2025,New York City FC,NYC,unknown,unknown,0,51450000.0,0.5451895043731778,0.1827016520894072,0.3624878522837706,25.445092322643344,24.34375,0.3595724003887269,32,10,9,4
2025,Orlando City SC,ORL,unknown,unknown,0,48825000.0,0.5248335893497184,0.1935483870967742,0.33128520225294417,25.472606246799796,23.451612903225808,0.3891449052739375,31,11,8,3
2025,Philadelphia Union,PHI,unknown,unknown,0,40075000.0,0.4560199625701809,0.22208359326263255,0.23393636930754835,22.70804741110418,23.1875,0.32439176543980036,32,12,10,3
2025,Portland Timbers,POR,unknown,unknown,0,49700000.0,0.5975855130784709,0.27364185110663986,0.323943661971831,25.09456740442656,25.620689655172413,0.30181086519114686,29,11,11,3
2025,Real Salt Lake City,RSL,unknown,unknown,2,51225000.0,0.4001952171791118,0.2840409956076135,0.1161542215714983,24.251830161054173,23.5,0.3611517813567594,38,15,12,3
2025,Red Bull New York,NYRB,unknown,unknown,0,47600000.0,0.5220588235294118,0.21428571428571427,0.3077731092436975,22.15861344537815,23.29032258064516,0.42016806722689076,31,12,9,5
2025,San Diego FC,SD,unknown,unknown,1,50650000.0,0.6268509378084897,0.26258637709772953,0.36426456071076013,25.809476801579468,24.93548387096774,0.4738400789733465,31,10,11,4
2025,San Jose Earthquakes,SJ,unknown,unknown,0,30625000.0,0.2653061224489796,0.313469387755102,-0.048163265306122416,25.50204081632653,25.6,0.37551020408163266,30,5,10,4
2025,Seattle Sounders FC,SEA,unknown,unknown,0,44325000.0,0.4664410603496898,0.29328821206993794,0.17315284827975186,27.755781161872534,26.655172413793103,0.25944726452340666,29,11,10,3
2025,Sporting Kansas City,SKC,unknown,unknown,0,29100000.0,0.570446735395189,0.21993127147766323,0.35051546391752575,25.197594501718214,23.214285714285715,0.4639175257731959,28,9,9,4
2025,St. Louis CITY SC,STL,unknown,unknown,0,32850000.0,0.2328767123287671,0.258751902587519,-0.0258751902587519,26.747336377473363,25.75862068965517,0.3135464231354642,29,8,10,3
2025,Toronto FC,TOR,unknown,unknown,2,46450000.0,0.6221743810548978,0.21367061356297093,0.40850376749192685,26.53875134553283,24.394736842105264,0.5489773950484392,38,10,18,3
2025,Vancouver Whitecaps FC,VAN,unknown,unknown,0,61250000.0,0.3902040816326531,0.2897959183673469,0.10040816326530616,27.05061224489796,25.655172413793103,0.2857142857142857,29,10,10,3
