season,tm_team_name,asa_team_id,observed_at,value_snapshot_type,n_prior_fill,squad_value_eur,top15_value_eur,att_value_pct,def_value_pct,mid_value_pct,gk_value_pct,tilt,value_wtd_age,avg_age,dp_value_share,n_players,n_att,n_def,n_mid,n_gk
2019,Atlanta United FC,ATL,unknown,unknown,5,61525000.0,52675000.0,0.7834213734254368,0.08655018285249898,0.10442909386428281,0.025599349857781388,0.6968711905729379,24.331978870377895,23.5,0.617635107679805,38,17,12,5,4
2019,CF Montréal,MTL,unknown,unknown,12,51475000.0,46400000.0,0.15978630403108304,0.19475473530840215,0.616318601262749,0.029140359397765905,-0.034968431277319106,25.913550267119962,22.394736842105264,0.6313744536182613,38,12,11,11,4
2019,Chicago Fire FC,CHI,unknown,unknown,8,28900000.0,24350000.0,0.4524221453287197,0.263840830449827,0.18685121107266436,0.09688581314878893,0.18858131487889274,23.44377162629758,23.09375,0.39792387543252594,32,9,11,7,5
2019,Colorado Rapids,COL,unknown,unknown,3,24500000.0,19525000.0,0.5163265306122449,0.22346938775510203,0.16224489795918368,0.09795918367346938,0.2928571428571428,25.67448979591837,24.1875,0.3877551020408163,32,11,11,6,4
2019,Columbus Crew,CLB,unknown,unknown,4,37400000.0,26350000.0,0.5006684491978609,0.20120320855614973,0.196524064171123,0.10160427807486631,0.2994652406417112,26.72393048128342,26.060606060606062,0.2807486631016043,33,11,11,6,5
2019,D.C. United,DC,unknown,unknown,4,23775000.0,18500000.0,0.42691903259726605,0.22397476340694006,0.29232386961093587,0.056782334384858045,0.202944269190326,25.844374342797057,25.103448275862068,0.31545741324921134,29,10,8,8,3
2019,FC Cincinnati,CIN,unknown,unknown,4,37000000.0,31400000.0,0.5905405405405405,0.18783783783783783,0.19324324324324324,0.02837837837837838,0.4027027027027027,25.77027027027027,24.428571428571427,0.5,35,12,9,9,5
2019,FC Dallas,DAL,unknown,unknown,9,21225000.0,16275000.0,0.2968197879858657,0.4169611307420495,0.2061248527679623,0.0800942285041225,-0.12014134275618377,25.376914016489987,23.2,0.2944640753828033,35,10,13,6,6
2019,Houston Dynamo FC,HOU,unknown,unknown,3,20975000.0,15125000.0,0.6317044100119189,0.23480333730631706,0.09892729439809297,0.03456495828367104,0.3969010727056018,25.69964243146603,24.78125,0.3575685339690107,32,13,11,5,3
2019,Inter Miami CF,MIA,unknown,unknown,5,118800000.0,111000000.0,0.5761784511784511,0.10395622895622895,0.2962962962962963,0.02356902356902357,0.47222222222222215,29.240319865319865,24.742857142857144,0.7575757575757576,35,12,14,6,3
2019,Los Angeles FC,LAFC,unknown,unknown,7,51000000.0,40825000.0,0.7303921568627451,0.17107843137254902,0.057352941176470586,0.041176470588235294,0.5593137254901961,24.103921568627452,23.303030303030305,0.5196078431372549,33,11,13,6,3
2019,Los Angeles Galaxy,LAG,unknown,unknown,4,54225000.0,51025000.0,0.318118948824343,0.5352697095435685,0.12586445366528354,0.02074688796680498,-0.21715076071922546,26.28584601198709,24.0,0.6639004149377593,29,10,10,5,4
2019,Minnesota United FC,MIN,unknown,unknown,5,29900000.0,24100000.0,0.2842809364548495,0.35535117056856186,0.2516722408026756,0.10869565217391304,-0.07107023411371238,25.918896321070235,25.151515151515152,0.36789297658862874,33,9,11,8,5
2019,Nashville SC,NSH,unknown,unknown,3,23125000.0,16300000.0,0.43783783783783786,0.3924324324324324,0.12756756756756757,0.04216216216216216,0.04540540540540544,25.414054054054056,24.764705882352942,0.3027027027027027,34,12,12,6,4
2019,New England Revolution,NE,unknown,unknown,6,30725000.0,23475000.0,0.4646053702196908,0.3791700569568755,0.11798209926769732,0.03824247355573637,0.08543531326281528,25.920260374288038,25.3125,0.39056143205858423,32,12,9,7,4
2019,New York City FC,NYC,unknown,unknown,5,32950000.0,27750000.0,0.37936267071320184,0.30045523520485584,0.24582701062215478,0.07435508345978756,0.078907435508346,24.613050075872533,23.82758620689655,0.30349013657056145,29,6,9,9,5
2019,Orlando City SC,ORL,unknown,unknown,5,31125000.0,27350000.0,0.521285140562249,0.2827309236947791,0.13493975903614458,0.06104417670682731,0.23855421686746986,26.560642570281125,23.766666666666666,0.46586345381526106,30,12,9,6,3
2019,Philadelphia Union,PHI,unknown,unknown,2,14075000.0,11400000.0,0.1936056838365897,0.27886323268206037,0.35879218472468916,0.16873889875666073,-0.08525754884547068,26.568383658969804,24.192307692307693,0.3552397868561279,26,8,9,6,3
2019,Portland Timbers,POR,unknown,unknown,1,32700000.0,24225000.0,0.6414373088685015,0.2599388379204893,0.052752293577981654,0.045871559633027525,0.3814984709480122,27.597859327217126,25.75862068965517,0.382262996941896,29,11,10,5,3
2019,Real Salt Lake City,RSL,unknown,unknown,6,18125000.0,13975000.0,0.4220689655172414,0.2537931034482759,0.263448275862069,0.060689655172413794,0.1682758620689655,26.783448275862067,24.903225806451612,0.31724137931034485,31,11,9,8,3
2019,Red Bull New York,NYRB,unknown,unknown,4,29625000.0,23900000.0,0.5198312236286919,0.30632911392405066,0.07426160337552742,0.09957805907172995,0.21350210970464129,23.08607594936709,22.64516129032258,0.3206751054852321,31,13,9,5,4
2019,San Jose Earthquakes,SJ,unknown,unknown,6,24775000.0,19950000.0,0.5408678102926338,0.2956609485368315,0.12916246215943492,0.034308779011099896,0.24520686175580225,24.290615539858727,24.2,0.3632694248234107,30,10,10,6,4
2019,Seattle Sounders FC,SEA,unknown,unknown,3,32525000.0,26800000.0,0.36587240584166025,0.31975403535741737,0.2759415833973866,0.03843197540353574,0.04611837048424289,26.060722521137585,24.766666666666666,0.3627978478093774,30,9,11,7,3
2019,Sporting Kansas City,SKC,unknown,unknown,3,30800000.0,25550000.0,0.31655844155844154,0.4050324675324675,0.19480519480519481,0.0836038961038961,-0.08847402597402598,27.829545454545453,25.28125,0.42207792207792205,32,9,10,7,6
2019,Toronto FC,TOR,unknown,unknown,11,58575000.0,45375000.0,0.47844643619291505,0.36448997012377293,0.12718736662398633,0.02987622705932565,0.11395646606914211,24.82116944088775,23.175,0.39265898420828,40,13,17,7,3
2019,Vancouver Whitecaps FC,VAN,unknown,unknown,4,19575000.0,15825000.0,0.4163473818646232,0.31545338441890164,0.1545338441890166,0.1136653895274585,0.10089399744572158,25.167305236270753,22.90625,0.36270753512132825,32,8,10,8,6
