season,tm_team_name,asa_team_id,squad_value_eur,att_value_pct,def_value_pct,tilt,value_wtd_age,avg_age,dp_value_share,n_players,n_att,n_def,n_gk
2024,Atlanta United FC,ATL,72425000.0,0.6413531239212978,0.15567828788401794,0.4856748360372799,28.12702795995858,24.28205128205128,0.6006213324128409,39,13,14,3
2024,Austin FC,ATX,56575000.0,0.5899248784798939,0.27750773309765797,0.312417145382236,26.343791427308883,24.91176470588235,0.4418912947414936,34,10,14,3
2024,CF Montréal,MTL,38600000.0,0.5939119170984456,0.2648963730569948,0.3290155440414508,23.594559585492227,22.07894736842105,0.38860103626943004,38,14,15,4
2024,Charlotte FC,CLT,60750000.0,0.5596707818930041,0.2411522633744856,0.31851851851851853,27.018106995884775,24.18918918918919,0.49382716049382713,37,12,12,6
2024,Chicago Fire FC,CHI,63675000.0,0.6368276403612093,0.18845700824499412,0.4483706321162152,26.820180604632903,23.475,0.4711425206124853,40,13,14,3
2024,Colorado Rapids,COL,43275000.0,0.49913344887348354,0.37897169266320047,0.12016175621028308,24.636048526863085,22.615384615384617,0.30040439052570767,39,14,13,4
2024,Columbus Crew,CLB,44875000.0,0.528133704735376,0.2818941504178273,0.24623955431754874,26.070194986072423,24.303030303030305,0.43454038997214484,33,9,10,6
2024,D.C. United,DC,33500000.0,0.5402985074626866,0.29701492537313434,0.24328358208955225,25.707462686567165,23.8,0.26865671641791045,35,15,10,4
2024,FC Cincinnati,CIN,57875000.0,0.5995680345572354,0.2734341252699784,0.326133909287257,25.62721382289417,24.81578947368421,0.4146868250539957,38,15,12,5
2024,FC Dallas,DAL,43200000.0,0.6782407407407407,0.1684027777777778,0.5098379629629629,26.20659722222222,22.386363636363637,0.46296296296296297,44,18,12,5
2024,Houston Dynamo FC,HOU,41075000.0,0.46804625684723067,0.17650639074863056,0.2915398660986001,26.434570906877664,25.047619047619047,0.27997565429093124,42,14,12,6
2024,Inter Miami CF,MIA,121225000.0,0.4174056506496185,0.14518457413899774,0.2722210765106208,29.89255516601361,24.43243243243243,0.6104351412662404,37,10,13,4
2024,Los Angeles FC,LAFC,130350000.0,0.7291906405830456,0.14307633294975067,0.586114307633295,28.560030686612965,24.95,0.5830456463367856,40,13,13,4
2024,Los Angeles Galaxy,LAG,67550000.0,0.5669874167283494,0.18689859363434494,0.3800888230940045,25.823464100666172,24.823529411764707,0.47372316802368614,34,11,12,4
2024,Minnesota United FC,MIN,43335000.0,0.42113764855197877,0.1465328256605515,0.2746048228914273,24.983269874235607,23.19047619047619,0.3230644975193262,42,13,12,4
2024,Nashville SC,NSH,42050000.0,0.6070154577883472,0.2057074910820452,0.401307966706302,27.271700356718192,24.555555555555557,0.4994054696789536,36,12,13,3
2024,New England Revolution,NE,57250000.0,0.4310043668122271,0.15240174672489082,0.2786026200873363,26.22532751091703,23.25581395348837,0.34934497816593885,43,15,16,5
2024,New York City FC,NYC,34075000.0,0.40498899486427,0.33969185619955977,0.06529713866471021,23.51650770359501,22.305555555555557,0.32281731474688186,36,11,12,4
2024,Orlando City SC,ORL,39375000.0,0.5187301587301587,0.26666666666666666,0.25206349206349205,26.17142857142857,22.83783783783784,0.33015873015873015,37,13,13,3
2024,Philadelphia Union,PHI,40050000.0,0.433832709113608,0.30337078651685395,0.13046192259675404,26.516229712858927,22.805555555555557,0.42446941323345816,36,13,9,5
2024,Portland Timbers,POR,62400000.0,0.5032051282051282,0.25560897435897434,0.24759615384615385,25.924679487179485,24.555555555555557,0.2724358974358974,36,14,11,4
2024,Real Salt Lake City,RSL,36250000.0,0.3820689655172414,0.25103448275862067,0.13103448275862073,24.78965517241379,22.681818181818183,0.3448275862068966,44,17,13,4
2024,Red Bull New York,NYRB,38875000.0,0.42508038585209,0.3356913183279743,0.08938906752411574,27.22958199356913,22.307692307692307,0.3858520900321543,39,14,11,6
2024,San Diego FC,SD,64075000.0,0.7733125243854858,0.12134217713616856,0.6519703472493172,27.182988685134607,23.68421052631579,0.6008583690987125,38,11,14,4
2024,San Jose Earthquakes,SJ,45350000.0,0.45865490628445427,0.3158765159867696,0.1427783902976847,26.942668136714442,24.72222222222222,0.3528114663726571,36,7,14,4
2024,Seattle Sounders FC,SEA,67975000.0,0.5285031261493196,0.22839279146745126,0.3001103346818683,26.286502390584772,24.37837837837838,0.33100404560500185,37,11,14,5
2024,Sporting Kansas City,SKC,33775000.0,0.616580310880829,0.307920059215396,0.308660251665433,26.09696521095485,24.193548387096776,0.31088082901554404,31,12,10,4
2024,St. Louis CITY SC,STL,43860000.0,0.3317373461012312,0.2775877792977656,0.054149566803465554,26.26983584131327,24.205128205128204,0.28499772001823986,39,11,16,3
2024,Toronto FC,TOR,42575000.0,0.559013505578391,0.14210217263652378,0.4169113329418672,27.533763945977686,24.514285714285716,0.4227833235466823,35,11,11,3
2024,Vancouver Whitecaps FC,VAN,50835000.0,0.5635880790793745,0.2077308940690469,0.3558571850103276,27.557391560932427,23.463414634146343,0.4229369528867906,41,13,15,4
