season,tm_team_name,asa_team_id,observed_at,value_snapshot_type,n_prior_fill,squad_value_eur,top15_value_eur,att_value_pct,def_value_pct,mid_value_pct,gk_value_pct,tilt,value_wtd_age,avg_age,dp_value_share,n_players,n_att,n_def,n_mid,n_gk
2024,Atlanta United FC,ATL,unknown,unknown,0,72425000.0,67700000.0,0.6413531239212978,0.15567828788401794,0.19468415602347255,0.008284432171211598,0.4856748360372799,28.12702795995858,24.28205128205128,0.6006213324128409,39,13,14,9,3
2024,Austin FC,ATX,unknown,unknown,1,56600000.0,46925000.0,0.5896643109540636,0.2773851590106007,0.11174911660777385,0.02120141342756184,0.3122791519434629,26.34143109540636,24.91176470588235,0.4416961130742049,34,10,14,7,3
2024,CF Montréal,MTL,unknown,unknown,0,38600000.0,28975000.0,0.5939119170984456,0.2648963730569948,0.1055699481865285,0.03562176165803109,0.3290155440414508,23.594559585492227,22.07894736842105,0.38860103626943004,38,14,15,5,4
2024,Charlotte FC,CLT,unknown,unknown,0,60750000.0,53650000.0,0.5596707818930041,0.2411522633744856,0.14074074074074075,0.05843621399176955,0.31851851851851853,27.018106995884775,24.18918918918919,0.49382716049382713,37,12,12,7,6
2024,Chicago Fire FC,CHI,unknown,unknown,0,63675000.0,54975000.0,0.6368276403612093,0.18845700824499412,0.14801727522575578,0.026698076168040832,0.4483706321162152,26.820180604632903,23.475,0.4711425206124853,40,13,14,10,3
2024,Colorado Rapids,COL,unknown,unknown,0,43275000.0,31675000.0,0.49913344887348354,0.37897169266320047,0.06412478336221837,0.057770075101097634,0.12016175621028308,24.636048526863085,22.615384615384617,0.30040439052570767,39,14,13,8,4
2024,Columbus Crew,CLB,unknown,unknown,0,44875000.0,38150000.0,0.528133704735376,0.2818941504178273,0.14596100278551533,0.04401114206128134,0.24623955431754874,26.070194986072423,24.303030303030305,0.43454038997214484,33,9,10,8,6
2024,D.C. United,DC,unknown,unknown,0,33500000.0,24300000.0,0.5402985074626866,0.29701492537313434,0.09850746268656717,0.06417910447761194,0.24328358208955225,25.707462686567165,23.8,0.26865671641791045,35,15,10,6,4
2024,FC Cincinnati,CIN,unknown,unknown,0,57875000.0,48475000.0,0.5995680345572354,0.2734341252699784,0.10323974082073434,0.023758099352051837,0.326133909287257,25.62721382289417,24.81578947368421,0.4146868250539957,38,15,12,6,5
2024,FC Dallas,DAL,unknown,unknown,0,43200000.0,37000000.0,0.6782407407407407,0.1684027777777778,0.12152777777777778,0.031828703703703706,0.5098379629629629,26.20659722222222,22.386363636363637,0.46296296296296297,44,18,12,9,5
